# t ax ay az
1.95 0.004024806508 0.0001409682957 -0.0001276665946
1.96 0.004024766587 0.0001416899051 -0.0001276828954
1.97 0.004024726543 0.0001424115 -0.000127699191
1.98 0.004024686375 0.0001431330803 -0.0001277154815
1.99 0.004024646083 0.0001438546461 -0.0001277317667
2 0.004024605668 0.0001445761973 -0.0001277480468
2.01 0.004024565129 0.000145297734 -0.0001277643218
2.02 0.004024524467 0.0001460192561 -0.0001277805916
2.03 0.004024483681 0.0001467407635 -0.0001277968562
2.04 0.004024442772 0.0001474622564 -0.0001278131156
2.05 0.00402440174 0.0001481837346 -0.0001278293698
2.06 0.004024360583 0.0001489051981 -0.0001278456189
2.07 0.004024319304 0.0001496266469 -0.0001278618628
2.08 0.004024277901 0.0001503480811 -0.0001278781015
2.09 0.004024236374 0.0001510695005 -0.0001278943351
2.1 0.004024194724 0.0001517909052 -0.0001279105635
2.11 0.004024152951 0.0001525122951 -0.0001279267867
2.12 0.004024111054 0.0001532336703 -0.0001279430047
2.13 0.004024069034 0.0001539550307 -0.0001279592176
2.14 0.00402402689 0.0001546763762 -0.0001279754252
2.15 0.004023984623 0.0001553977069 -0.0001279916277
2.16 0.004023942232 0.0001561190228 -0.0001280078251
2.17 0.004023899718 0.0001568403239 -0.0001280240172
2.18 0.004023857081 0.00015756161 -0.0001280402042
2.19 0.00402381432 0.0001582828813 -0.000128056386
2.2 0.004023771436 0.0001590041376 -0.0001280725626
2.21 0.004023728428 0.000159725379 -0.000128088734
2.22 0.004023685297 0.0001604466055 -0.0001281049003
2.23 0.004023642043 0.0001611678169 -0.0001281210613
2.24 0.004023598665 0.0001618890134 -0.0001281372172
2.25 0.004023555164 0.0001626101949 -0.0001281533679
2.26 0.00402351154 0.0001633313614 -0.0001281695135
2.27 0.004023467792 0.0001640525128 -0.0001281856538
2.28 0.004023423921 0.0001647736492 -0.000128201789
2.29 0.004023379926 0.0001654947705 -0.000128217919
2.3 0.004023335808 0.0001662158767 -0.0001282340438
2.31 0.004023291567 0.0001669369677 -0.0001282501634
2.32 0.004023247202 0.0001676580437 -0.0001282662779
2.33 0.004023202714 0.0001683791045 -0.0001282823871
