# t x y z R phi vx vy vz vR vphi vz_cyl
0.87 10.00199682 0.1875605527 0.1038051075 10.00375526 0.01875011316 0.0001907817853 0.2155605348 0.0043470507 0.004232295849 0.215519067 0.0043470507
0.88 10.00199848 0.1897161535 0.1038485749 10.00379757 0.01896555042 0.0001424150911 0.2155596226 0.004346430854 0.00423035129 0.2155181554 0.004346430854
0.89 10.00199967 0.1918717451 0.1038920361 10.00383987 0.01918098585 9.404880441e-05 0.2155587 0.004345810753 0.004228406353 0.2155172442 0.004345810753
0.9 10.00200037 0.1940273275 0.1039354911 10.00388214 0.01939641945 4.568292738e-05 0.2155577669 0.004345190398 0.004226461037 0.2155163335 0.004345190398
0.91 10.00200058 0.1961829004 0.1039789399 10.0039244 0.01961185124 -2.682537858e-06 0.2155568235 0.004344569789 0.004224515342 0.2155154232 0.004344569789
0.92 10.00200031 0.1983384639 0.1040223825 10.00396663 0.01982728121 -5.104758915e-05 0.2155558696 0.004343948926 0.004222569268 0.2155145133 0.004343948926
0.93 10.00199956 0.2004940178 0.1040658189 10.00400885 0.02004270936 -9.941222435e-05 0.2155549053 0.004343327809 0.004220622816 0.2155136039 0.004343327809
0.94 10.00199832 0.202649562 0.104109249 10.00405105 0.02025813569 -0.0001477764413 0.2155539307 0.004342706438 0.004218675986 0.2155126948 0.004342706438
0.95 10.0019966 0.2048050963 0.104152673 10.00409322 0.02047356021 -0.0001961402379 0.2155529456 0.004342084812 0.004216728778 0.2155117862 0.004342084812
0.96 10.0019944 0.2069606208 0.1041960907 10.00413538 0.02068898291 -0.0002445036119 0.21555195 0.004341462934 0.004214781192 0.2155108781 0.004341462934
0.97 10.00199171 0.2091161353 0.1042395022 10.00417752 0.0209044038 -0.0002928665613 0.2155509441 0.004340840801 0.004212833228 0.2155099703 0.004340840801
0.98 10.00198854 0.2112716396 0.1042829075 10.00421964 0.02111982287 -0.0003412290839 0.2155499277 0.004340218414 0.004210884887 0.215509063 0.004340218414
0.99 10.00198489 0.2134271338 0.1043263066 10.00426174 0.02133524012 -0.0003895911774 0.215548901 0.004339595774 0.004208936168 0.2155081561 0.004339595774
1 10.00198075 0.2155826176 0.1043696995 10.00430382 0.02155065557 -0.0004379528399 0.2155478638 0.00433897288 0.004206987073 0.2155072497 0.00433897288
1.01 10.00197613 0.217738091 0.1044130861 10.00434588 0.0217660692 -0.0004863140691 0.2155468162 0.004338349732 0.004205037601 0.2155063436 0.004338349732
1.02 10.00197103 0.2198935539 0.1044564664 10.00438792 0.02198148102 -0.0005346748629 0.2155457582 0.00433772633 0.004203087751 0.215505438 0.00433772633
1.03 10.00196544 0.2220490061 0.1044998406 10.00442994 0.02219689103 -0.0005830352191 0.2155446898 0.004337102675 0.004201137526 0.2155045328 0.004337102675
1.04 10.00195937 0.2242044476 0.1045432085 10.00447194 0.02241229924 -0.0006313951357 0.215543611 0.004336478766 0.004199186924 0.2155036281 0.004336478766
1.05 10.00195281 0.2263598783 0.1045865702 10.00451392 0.02262770563 -0.0006797546104 0.2155425217 0.004335854604 0.004197235946 0.2155027238 0.004335854604
1.06 10.00194577 0.228515298 0.1046299256 10.00455588 0.02284311022 -0.0007281136411 0.2155414221 0.004335230188 0.004195284592 0.2155018199 0.004335230188
1.07 10.00193825 0.2306707067 0.1046732748 10.00459783 0.023058513 -0.0007764722257 0.215540312 0.004334605519 0.004193332862 0.2155009164 0.004334605519
1.08 10.00193024 0.2328261042 0.1047166177 10.00463975 0.02327391397 -0.000824830362 0.2155391915 0.004333980597 0.004191380757 0.2155000134 0.004333980597
1.09 10.00192175 0.2349814905 0.1047599544 10.00468165 0.02348931314 -0.0008731880479 0.2155380607 0.004333355421 0.004189428276 0.2154991108 0.004333355421
1.1 10.00191278 0.2371368654 0.1048032848 10.00472354 0.02370471051 -0.0009215452812 0.2155369194 0.004332729991 0.00418747542 0.2154982086 0.004332729991
1.11 10.00190332 0.2392922288 0.104846609 10.0047654 0.02392010607 -0.0009699020598 0.2155357677 0.004332104308 0.004185522189 0.2154973068 0.004332104308
1.12 10.00189338 0.2414475807 0.1048899269 10.00480725 0.02413549983 -0.001018258382 0.2155346055 0.004331478373 0.004183568583 0.2154964055 0.004331478373
1.13 10.00188295 0.2436029208 0.1049332385 10.00484908 0.02435089179 -0.001066614244 0.215533433 0.004330852183 0.004181614603 0.2154955046 0.004330852183
1.14 10.00187205 0.2457582493 0.1049765439 10.00489088 0.02456628195 -0.001114969646 0.2155322501 0.004330225741 0.004179660248 0.2154946041 0.004330225741
1.15 10.00186066 0.2479135658 0.1050198431 10.00493267 0.02478167031 -0.001163324584 0.2155310567 0.004329599045 0.004177705519 0.2154937041 0.004329599045
1.16 10.00184878 0.2500688703 0.1050631359 10.00497444 0.02499705687 -0.001211679057 0.215529853 0.004328972097 0.004175750415 0.2154928045 0.004328972097
1.17 10.00183642 0.2522241628 0.1051064225 10.00501618 0.02521244163 -0.001260033062 0.2155286388 0.004328344895 0.004173794938 0.2154919053 0.004328344895
1.18 10.00182358 0.2543794431 0.1051497028 10.00505791 0.0254278246 -0.001308386598 0.2155274142 0.00432771744 0.004171839087 0.2154910066 0.00432771744
1.19 10.00181025 0.256534711 0.1051929768 10.00509962 0.02564320577 -0.001356739662 0.2155261792 0.004327089733 0.004169882863 0.2154901082 0.004327089733
1.2 10.00179644 0.2586899666 0.1052362446 10.00514131 0.02585858514 -0.001405092251 0.2155249338 0.004326461772 0.004167926265 0.2154892103 0.004326461772
1.21 10.00178215 0.2608452097 0.1052795061 10.00518298 0.02607396272 -0.001453444365 0.215523678 0.004325833558 0.004165969294 0.2154883129 0.004325833558
1.22 10.00176738 0.2630004401 0.1053227613 10.00522463 0.02628933851 -0.001501796 0.2155224118 0.004325205092 0.00416401195 0.2154874158 0.004325205092
1.23 10.00175212 0.2651556578 0.1053660102 10.00526626 0.0265047125 -0.001550147155 0.2155211352 0.004324576372 0.004162054233 0.2154865192 0.004324576372
1.24 10.00173637 0.2673108628 0.1054092528 10.00530787 0.0267200847 -0.001598497827 0.2155198481 0.0043239474 0.004160096144 0.215485623 0.0043239474
1.25 10.00172015 0.2694660548 0.1054524891 10.00534946 0.02693545511 -0.001646848015 0.2155185507 0.004323318175 0.004158137682 0.2154847273 0.004323318175
1.26 10.00170344 0.2716212337 0.1054957192 10.00539103 0.02715082373 -0.001695197715 0.2155172429 0.004322688698 0.004156178848 0.215483832 0.004322688698
1.27 10.00168624 0.2737763996 0.1055389429 10.00543258 0.02736619056 -0.001743546927 0.2155159246 0.004322058968 0.004154219642 0.2154829371 0.004322058968
1.28 10.00166856 0.2759315522 0.1055821603 10.00547412 0.02758155561 -0.001791895648 0.2155145959 0.004321428985 0.004152260064 0.2154820426 0.004321428985
1.29 10.0016504 0.2780866914 0.1056253715 10.00551563 0.02779691886 -0.001840243875 0.2155132569 0.004320798749 0.004150300115 0.2154811486 0.004320798749
1.3 10.00163176 0.2802418172 0.1056685763 10.00555712 0.02801228033 -0.001888591606 0.2155119074 0.004320168261 0.004148339794 0.215480255 0.004320168261
