# id  R  x  y  vR  vphi  Lz0  Lz_end  dLz  JR0  JR_end  dJR  eR0  eR_end  deR  vR_end
72 3.43822 3.4346 -0.15777 -0.0121301 0.209137 0.719059 0.71897 -8.98581e-05 0.0040749 0.00416554 9.06409e-05 0.000193592 0.000197914 4.32282e-06 0.0118449
73 6.26829 -6.02963 -1.71319 -0.0101474 0.212757 1.33362 1.3366 0.00297426 0.00407755 0.00260676 -0.00147079 0.000104536 6.67047e-05 -3.78315e-05 0.0092617
74 2.99993 1.38436 2.66142 -0.000959694 0.243468 0.730388 0.730255 -0.000133473 0.0114341 0.0115676 0.000133506 0.000533068 0.000539359 6.29051e-06 -0.0312544
75 10.2424 -10.1078 -1.65512 -0.00267981 0.225816 2.3129 2.31866 0.00576274 0.00250979 0.00249227 -1.75178e-05 3.71243e-05 3.67736e-05 -3.5062e-07 0.00227895
76 3.85443 -2.73429 -2.71666 0.00115616 0.225887 0.870664 0.870669 4.34252e-06 0.000891263 0.000887077 -4.18658e-06 3.50221e-05 3.48574e-05 -1.64631e-07 -0.00197932
77 7.51529 2.15783 -7.19884 0.000890184 0.216385 1.6262 1.6256 -0.000594033 0.000643306 0.000948437 0.000305131 1.35369e-05 1.99638e-05 6.42687e-06 -0.000989241
78 4.41417 -3.65826 -2.47022 -0.00538195 0.212843 0.939524 0.939553 2.84238e-05 0.00182053 0.0018032 -1.73339e-05 6.62747e-05 6.56421e-05 -6.32617e-07 0.00106551
79 5.75202 -1.45064 -5.56609 -0.00916036 0.219776 1.26416 1.26346 -0.000695214 0.00155223 0.00190035 0.000348111 4.20063e-05 5.14505e-05 9.44421e-06 -0.00997405
80 12.1373 -8.40232 -8.75865 -0.00440651 0.219311 2.66183 2.66176 -7.62457e-05 0.000792147 0.000745271 -4.6876e-05 1.01839e-05 9.58157e-06 -6.02311e-07 0.00391697
81 5.92051 5.58621 -1.9613 -0.0155976 0.218599 1.29422 1.29409 -0.00012375 0.00467991 0.00473826 5.83522e-05 0.00012361 0.000125161 1.55137e-06 -0.0154518
82 6.2589 -0.120891 -6.25773 0.0107391 0.21444 1.34216 1.34435 0.0021944 0.00348709 0.00242755 -0.00105953 8.88432e-05 6.17635e-05 -2.70797e-05 -0.00830657
83 3.10369 2.51562 -1.81785 -0.0146008 0.221341 0.686975 0.687076 0.000100898 0.00217786 0.00207761 -0.000100258 0.000108386 0.000103386 -4.99986e-06 -0.00849721
84 2.10347 -0.0908107 2.10151 0.000460899 0.214397 0.450978 0.450978 -1.14189e-08 0.000418787 0.000418795 7.83589e-09 3.17715e-05 3.17721e-05 5.86884e-10 0.00764496
85 2.86265 2.79146 -0.634463 -0.00586794 0.220538 0.631324 0.631294 -2.97084e-05 0.000322976 0.000352762 2.97862e-05 1.75056e-05 1.91206e-05 1.61505e-06 0.00089012
86 3.14696 2.59418 -1.78146 0.0179082 0.228212 0.718174 0.718274 9.96688e-05 0.00477317 0.00467433 -9.88412e-05 0.000226972 0.000222252 -4.72097e-06 -0.016666
87 9.68921 -4.30365 8.68098 0.000737073 0.214032 2.0738 2.07272 -0.00108374 0.00219535 0.00220654 1.1188e-05 3.62174e-05 3.6421e-05 2.03536e-07 -0.00850704
88 3.21897 2.06109 2.47258 0.0113425 0.22232 0.715641 0.71565 9.23577e-06 0.00145821 0.00144808 -1.01306e-05 6.96898e-05 6.9205e-05 -4.84732e-07 0.0114933
89 5.85895 -4.51831 3.7299 0.0128162 0.215383 1.26192 1.26004 -0.00188149 0.00382357 0.00475543 0.00093187 0.000103596 0.000129005 2.54094e-05 0.00823349
90 5.08205 3.80913 -3.36419 0.00355076 0.213266 1.08383 1.08383 -2.61841e-06 0.00165152 0.00163819 -1.33367e-05 5.21243e-05 5.17037e-05 -4.20595e-07 -0.00772685
91 3.46839 2.56157 2.33839 -0.00626048 0.226384 0.785187 0.785189 2.05133e-06 0.00137657 0.0013751 -1.46958e-06 5.99664e-05 5.99023e-05 -6.41419e-08 0.0105848
92 2.56976 -1.59228 2.017 -0.0162155 0.22045 0.566503 0.566505 2.34319e-06 0.00218229 0.00217994 -2.34414e-06 0.000131674 0.000131532 -1.41801e-07 -0.0141584
93 4.7038 -3.34982 -3.30218 -0.00248433 0.225244 1.0595 1.0595 1.23602e-06 0.000940487 0.000942401 1.91448e-06 3.03708e-05 3.04326e-05 6.17694e-08 0.00668744
94 11.6824 9.39141 -6.9483 0.00195866 0.220464 2.57554 2.57486 -0.00067958 0.000160547 0.000156533 -4.01372e-06 2.13332e-06 2.08054e-06 -5.27836e-08 0.00171564
95 6.39728 -4.80305 -4.22563 0.00773499 0.224116 1.43373 1.4374 0.00366485 0.00195945 0.000145688 -0.00181376 4.67523e-05 3.46868e-06 -4.32836e-05 -0.00148441
96 3.90668 -1.87026 3.4299 -0.0164937 0.233042 0.910419 0.910403 -1.54023e-05 0.00808074 0.00807245 -8.29681e-06 0.000302896 0.000302591 -3.05e-07 0.0149185
97 4.6584 4.18487 -2.04634 -0.000785606 0.218358 1.0172 1.01719 -8.09715e-06 8.95097e-05 9.41494e-05 4.63971e-06 3.0115e-06 3.16762e-06 1.56121e-07 0.00146113
98 3.924 3.73707 1.1967 -0.0114134 0.207866 0.815666 0.815644 -2.24744e-05 0.00513915 0.00515936 2.02108e-05 0.000215191 0.000216041 8.50493e-07 0.0142775
99 2.28273 -0.846216 2.12009 -0.00292367 0.234178 0.534565 0.534572 6.66305e-06 0.00314819 0.00314133 -6.86332e-06 0.00020117 0.00020073 -4.40236e-07 0.00163566
100 8.64109 0.734065 -8.60985 0.00574425 0.22722 1.96343 1.96293 -0.000495791 0.00390769 0.00388039 -2.73016e-05 6.807e-05 6.76118e-05 -4.58214e-07 -0.0115331
