# x [kpc]	y [kpc]	Phi_eff(x,y)
12.1	-19.9	0.28363
12.2	-19.9	0.284326
12.3	-19.9	0.285028
12.4	-19.9	0.285734
12.5	-19.9	0.286446
12.6	-19.9	0.287163
12.7	-19.9	0.287886
12.8	-19.9	0.288613
12.9	-19.9	0.289346
13	-19.9	0.290084
13.1	-19.9	0.290827
13.2	-19.9	0.291576
13.3	-19.9	0.292329
13.4	-19.9	0.293088
13.5	-19.9	0.293851
13.6	-19.9	0.29462
13.7	-19.9	0.295395
13.8	-19.9	0.296174
13.9	-19.9	0.296958
14	-19.9	0.297748
14.1	-19.9	0.298542
14.2	-19.9	0.299342
14.3	-19.9	0.300147
14.4	-19.9	0.300957
14.5	-19.9	0.301772
14.6	-19.9	0.302592
14.7	-19.9	0.303417
14.8	-19.9	0.304247
14.9	-19.9	0.305083
15	-19.9	0.305923
15.1	-19.9	0.306768
15.2	-19.9	0.307619
15.3	-19.9	0.308474
15.4	-19.9	0.309335
15.5	-19.9	0.310201
15.6	-19.9	0.311071
15.7	-19.9	0.311947
15.8	-19.9	0.312828
15.9	-19.9	0.313713
16	-19.9	0.314604
16.1	-19.9	0.3155
16.2	-19.9	0.3164
16.3	-19.9	0.317306
16.4	-19.9	0.318217
16.5	-19.9	0.319132
16.6	-19.9	0.320053
16.7	-19.9	0.320978
16.8	-19.9	0.321909
16.9	-19.9	0.322844
17	-19.9	0.323785
17.1	-19.9	0.32473
17.2	-19.9	0.32568
17.3	-19.9	0.326636
17.4	-19.9	0.327596
17.5	-19.9	0.328561
17.6	-19.9	0.329531
17.7	-19.9	0.330506
17.8	-19.9	0.331486
17.9	-19.9	0.332471
18	-19.9	0.333461
18.1	-19.9	0.334455
18.2	-19.9	0.335455
18.3	-19.9	0.336459
18.4	-19.9	0.337469
18.5	-19.9	0.338483
18.6	-19.9	0.339502
18.7	-19.9	0.340526
18.8	-19.9	0.341555
18.9	-19.9	0.342589
19	-19.9	0.343627
19.1	-19.9	0.344671
19.2	-19.9	0.345719
19.3	-19.9	0.346772
19.4	-19.9	0.347831
19.5	-19.9	0.348894
19.6	-19.9	0.349961
19.7	-19.9	0.351034
19.8	-19.9	0.352111
19.9	-19.9	0.353194

-20	-19.8	0.353199
-19.9	-19.8	0.352111
-19.8	-19.8	0.351029
-19.7	-19.8	0.34995
-19.6	-19.8	0.348877
-19.5	-19.8	0.347809
-19.4	-19.8	0.346745
-19.3	-19.8	0.345686
-19.2	-19.8	0.344633
-19.1	-19.8	0.343584
-19	-19.8	0.342539
-18.9	-19.8	0.3415
-18.8	-19.8	0.340466
-18.7	-19.8	0.339436
-18.6	-19.8	0.338411
-18.5	-19.8	0.337392
-18.4	-19.8	0.336377
-18.3	-19.8	0.335367
-18.2	-19.8	0.334362
-18.1	-19.8	0.333361
-18	-19.8	0.332366
-17.9	-19.8	0.331376
-17.8	-19.8	0.33039
-17.7	-19.8	0.32941
-17.6	-19.8	0.328434
-17.5	-19.8	0.327463
-17.4	-19.8	0.326497
-17.3	-19.8	0.325536
-17.2	-19.8	0.32458
-17.1	-19.8	0.323629
-17	-19.8	0.322683
-16.9	-19.8	0.321742
-16.8	-19.8	0.320806
-16.7	-19.8	0.319875
-16.6	-19.8	0.318948
-16.5	-19.8	0.318027
-16.4	-19.8	0.317111
-16.3	-19.8	0.316199
-16.2	-19.8	0.315293
-16.1	-19.8	0.314392
-16	-19.8	0.313495
-15.9	-19.8	0.312604
-15.8	-19.8	0.311718
-15.7	-19.8	0.310836
-15.6	-19.8	0.30996
-15.5	-19.8	0.309088
-15.4	-19.8	0.308222
-15.3	-19.8	0.307361
-15.2	-19.8	0.306504
-15.1	-19.8	0.305653
-15	-19.8	0.304807
-14.9	-19.8	0.303966
-14.8	-19.8	0.30313
-14.7	-19.8	0.302299
-14.6	-19.8	0.301473
-14.5	-19.8	0.300652
-14.4	-19.8	0.299836
-14.3	-19.8	0.299026
-14.2	-19.8	0.29822
-14.1	-19.8	0.297419
-14	-19.8	0.296624
-13.9	-19.8	0.295834
-13.8	-19.8	0.295049
-13.7	-19.8	0.294269
-13.6	-19.8	0.293494
-13.5	-19.8	0.292724
-13.4	-19.8	0.291959
-13.3	-19.8	0.2912
-13.2	-19.8	0.290446
-13.1	-19.8	0.289697
-13	-19.8	0.288953
-12.9	-19.8	0.288214
-12.8	-19.8	0.28748
-12.7	-19.8	0.286752
-12.6	-19.8	0.286029
-12.5	-19.8	0.285311
-12.4	-19.8	0.284598
-12.3	-19.8	0.283891
-12.2	-19.8	0.283188
-12.1	-19.8	0.282491
-12	-19.8	0.2818
