# R  L  v_R  v_phi   x  y
2.57914 0.568987 0.0127507 0.220611 2.55123 -0.378363
5.19828 1.12661 0.00892684 0.216727 -1.0033 5.10054
3.12267 0.658126 -0.0128826 0.210758 1.74981 -2.58635
8.3558 1.82123 -0.0132672 0.21796 4.20509 7.22057
11.1678 2.44274 0.00340559 0.218729 7.4784 8.29422
5.6753 1.21844 0.0187576 0.214692 5.6753 -0.00321208
7.06253 1.5705 0.00186242 0.222371 7.0282 0.695576
3.43216 0.749228 -0.00679763 0.218297 -3.34145 -0.783841
3.06324 0.671225 0.00347267 0.219123 2.6143 1.59652
3.56644 0.792992 0.0100965 0.222349 -0.317972 3.55223
2.15617 0.441023 -0.00827864 0.20454 -2.12772 0.349071
3.81667 0.855211 0.00411226 0.224073 0.983052 -3.68789
2.0589 0.457678 -0.0156406 0.222293 1.9904 0.526641
6.72079 1.45013 -0.00171774 0.215767 3.47291 5.75394
2.28235 0.554133 0.026164 0.242791 -1.18622 -1.94987
5.01621 1.12432 0.0043 0.224138 4.45397 2.30748
7.36319 1.61974 -0.0168976 0.219977 -4.79783 5.58547
13.3689 2.9676 0.00243512 0.221978 -12.0757 -5.73636
8.577 1.86801 -0.0115051 0.217793 -8.48973 -1.2204
5.48299 1.20282 0.0105013 0.219372 -4.09568 -3.64536
8.85374 1.86855 -6.62896e-05 0.211046 -4.82634 -7.42261
4.29396 0.965625 -0.00621866 0.22488 3.80358 1.99271
12.9928 2.81621 -0.00251644 0.216752 -11.9656 5.0633
2.51384 0.567671 0.013077 0.225818 -2.24012 1.14072
4.41233 1.0572 0.00825506 0.239602 4.16001 1.47071
2.00108 0.461413 0.025588 0.230582 -1.65699 -1.12191
4.27621 0.945737 -0.0243901 0.221162 2.70748 -3.30992
6.13253 1.3626 -0.00554096 0.222192 -2.42442 -5.63295
3.56571 0.793843 -0.00757244 0.222633 2.90743 2.06425
5.87903 1.28293 -0.00394518 0.218222 3.44075 -4.76699
2.56873 0.546797 -0.00907857 0.212867 -1.87183 -1.75916
2.18275 0.472197 -0.0107104 0.216332 -2.14761 -0.390092
9.44879 2.11593 -0.00193145 0.223936 8.26496 -4.57931
3.89796 0.883245 -0.00298329 0.226592 -1.08399 -3.7442
3.01951 0.618499 0.00547722 0.204834 1.65303 2.52685
4.66006 1.04911 -0.00120887 0.225128 3.38307 3.20484
3.98477 0.862548 0.00562477 0.216461 3.91296 -0.753083
2.55957 0.561303 -0.0104764 0.219296 -0.0924299 -2.5579
2.15727 0.467988 -0.0242639 0.216936 1.86728 -1.0803
4.83291 1.11278 0.000490704 0.230251 -4.30243 -2.2014
4.9366 1.035 0.00280837 0.209659 2.30775 4.36398
9.97742 2.22821 -0.00498734 0.223326 1.80883 9.81208
12.2138 2.72966 0.000422845 0.22349 11.3378 -4.54209
2.34682 0.497397 -0.0293398 0.211945 0.17569 2.34024
4.62858 0.978977 0.00181242 0.211507 0.148725 -4.62619
8.29636 1.7973 0.00128721 0.216637 8.17521 1.41265
2.16081 0.477659 0.0103533 0.221056 2.16056 0.0327285
14.4814 3.17442 0.00311229 0.219207 14.1534 -3.06457
